#source:radsex-distrib;min_depth:5;signif_threshold:1.44629e-07;bonferroni:true;n_markers:345711
M	F	Markers	P	CorrectedP	Signif	Bias
0	1	120071	0.973624	1	False	-0.0333333
0	2	11188	0.450577	1	False	-0.0666667
0	3	3205	0.221263	1	False	-0.1
0	4	1284	0.110857	1	False	-0.133333
0	5	669	0.0557258	1	False	-0.166667
0	6	301	0.0278542	1	False	-0.2
0	7	157	0.0137661	1	False	-0.233333
0	8	102	0.00669954	1	False	-0.266667
0	9	51	0.00320031	1	False	-0.3
0	10	29	0.00149638	1	False	-0.333333
0	11	13	0.000683104	1	False	-0.366667
0	12	12	0.000303716	1	False	-0.4
0	13	1	0.0001312	1	False	-0.433333
0	14	2	5.49309e-05	1	False	-0.466667
0	15	1	2.22334e-05	1	False	-0.5
0	16	0	8.67631e-06	1	False	-0.533333
0	17	0	3.25512e-06	1	False	-0.566667
0	18	0	1.1705e-06	0.404656	False	-0.6
0	19	0	4.02086e-07	0.139006	False	-0.633333
0	20	0	1.31478e-07	0.0454532	True	-0.666667
0	21	0	4.07637e-08	0.0140925	True	-0.7
0	22	0	1.19324e-08	0.00412515	True	-0.733333
0	23	0	3.28224e-09	0.0011347	True	-0.766667
0	24	0	8.44011e-10	0.000291784	True	-0.8
0	25	0	2.01728e-10	6.97395e-05	True	-0.833333
0	26	0	4.45296e-11	1.53944e-05	True	-0.866667
0	27	0	9.01368e-12	3.11613e-06	True	-0.9
0	28	0	1.65978e-12	5.73805e-07	True	-0.933333
0	29	0	2.75557e-13	9.52632e-08	True	-0.966667
0	30	0	4.08562e-14	1.41244e-08	True	-1
1	0	70296	1	1	False	0.0322581
1	1	8639	1	1	False	-0.00107527
1	2	3290	0.969025	1	False	-0.0344086
1	3	1501	0.575671	1	False	-0.0677419
1	4	944	0.327311	1	False	-0.101075
1	5	576	0.180461	1	False	-0.134409
1	6	396	0.0969606	1	False	-0.167742
1	7	238	0.0508527	1	False	-0.201075
1	8	142	0.0260371	1	False	-0.234409
1	9	100	0.013006	1	False	-0.267742
1	10	60	0.00633108	1	False	-0.301075
1	11	36	0.00299896	1	False	-0.334409
1	12	16	0.00138006	1	False	-0.367742
1	13	7	0.000615799	1	False	-0.401075
1	14	7	0.000265886	1	False	-0.434409
1	15	3	0.000110835	1	False	-0.467742
1	16	4	4.44945e-05	1	False	-0.501075
1	17	0	1.71552e-05	1	False	-0.534409
1	18	4	6.33367e-06	1	False	-0.567742
1	19	0	2.23186e-06	0.771578	False	-0.601075
1	20	0	7.47952e-07	0.258575	False	-0.634409
1	21	0	2.37445e-07	0.0820875	False	-0.667742
1	22	0	7.10961e-08	0.0245787	True	-0.701075
1	23	0	1.99815e-08	0.00690783	True	-0.734409
1	24	0	5.24312e-09	0.0018126	True	-0.767742
1	25	0	1.27687e-09	0.000441427	True	-0.801075
1	26	0	2.86689e-10	9.91116e-05	True	-0.834409
1	27	0	5.89053e-11	2.03642e-05	True	-0.867742
1	28	0	1.09834e-11	3.79709e-06	True	-0.901075
1	29	0	1.84108e-12	6.36483e-07	True	-0.934409
1	30	0	2.74447e-13	9.48794e-08	True	-0.967742
2	0	3058	0.47938	1	False	0.0645161
2	1	1854	1	1	False	0.0311828
2	2	1263	1	1	False	-0.00215054
2	3	888	0.963377	1	False	-0.0354839
2	4	666	0.631695	1	False	-0.0688172
2	5	457	0.39187	1	False	-0.102151
2	6	374	0.23247	1	False	-0.135484
2	7	220	0.132709	1	False	-0.168817
2	8	220	0.0731611	1	False	-0.202151
2	9	133	0.0390203	1	False	-0.235484
2	10	75	0.0201481	1	False	-0.268817
2	11	76	0.0100709	1	False	-0.302151
2	12	64	0.00486974	1	False	-0.335484
2	13	52	0.00227542	1	False	-0.368817
2	14	13	0.00102585	1	False	-0.402151
2	15	12	0.000445433	1	False	-0.435484
2	16	2	0.000185873	1	False	-0.468817
2	17	7	7.43559e-05	1	False	-0.502151
2	18	1	2.84358e-05	1	False	-0.535484
2	19	0	1.03634e-05	1	False	-0.568817
2	20	1	3.58674e-06	1	False	-0.602151
2	21	0	1.17423e-06	0.405946	False	-0.635484
2	22	0	3.62048e-07	0.125164	False	-0.668817
2	23	0	1.04619e-07	0.0361678	True	-0.702151
