Contig	Position	Length	Snps_females	Snps_males	Fst	Abs_depth_females	Abs_depth_males	Rel_depth_females	Rel_depth_males
Chr0_RaGOO	0	1158772	0	0	0.0000	153	151	4.02	4.14
Chr0_RaGOO	25000	1158772	0	0	0.0000	135	128	3.55	3.50
Chr0_RaGOO	50000	1158772	0	0	0.0000	2	5	0.06	0.14
Chr0_RaGOO	75000	1158772	3	1	0.0000	4	4	0.11	0.12
Chr0_RaGOO	100000	1158772	0	0	0.0000	61	86	1.60	2.34
Chr0_RaGOO	125000	1158772	0	1	0.0000	5	4	0.13	0.12
Chr0_RaGOO	150000	1158772	0	1	0.0000	25	23	0.67	0.64
Chr0_RaGOO	175000	1158772	6	1	0.0000	21	19	0.56	0.53
Chr0_RaGOO	200000	1158772	0	5	0.0000	13	12	0.34	0.34
Chr0_RaGOO	225000	1158772	0	0	0.0000	4	4	0.12	0.11
Chr0_RaGOO	250000	1158772	3	0	0.0005	145	182	3.81	4.98
Chr0_RaGOO	275000	1158772	0	1	0.0000	61	59	1.61	1.63
Chr0_RaGOO	300000	1158772	0	0	0.0000	11	11	0.30	0.30
Chr0_RaGOO	325000	1158772	0	1	0.0000	16	15	0.43	0.41
Chr0_RaGOO	350000	1158772	0	0	0.0000	11	10	0.29	0.28
Chr0_RaGOO	375000	1158772	1	0	0.0000	4	3	0.10	0.09
Chr0_RaGOO	400000	1158772	2	1	0.0000	3	3	0.07	0.08
Chr0_RaGOO	425000	1158772	0	0	0.0000	6	4	0.16	0.12
Chr0_RaGOO	450000	1158772	0	1	0.0000	5	4	0.12	0.11
Chr0_RaGOO	475000	1158772	0	0	0.0000	3	3	0.08	0.07
Chr0_RaGOO	500000	1158772	0	3	0.0000	4	4	0.11	0.11
Chr0_RaGOO	525000	1158772	1	4	0.0099	10	10	0.26	0.28
Chr0_RaGOO	550000	1158772	0	1	0.0000	3	3	0.09	0.09
Chr0_RaGOO	575000	1158772	0	0	0.0000	41	35	1.08	0.97
Chr0_RaGOO	600000	1158772	0	1	0.0000	1	1	0.03	0.03
Chr0_RaGOO	625000	1158772	0	0	0.0054	1	3	0.03	0.08
Chr0_RaGOO	650000	1158772	0	1	0.0109	2	2	0.04	0.07
Chr0_RaGOO	675000	1158772	0	0	0.0110	1	2	0.02	0.05
Chr0_RaGOO	700000	1158772	1	4	0.0000	5	5	0.14	0.15
Chr0_RaGOO	725000	1158772	2	1	0.0000	7	6	0.19	0.17
Chr0_RaGOO	750000	1158772	2	0	0.0000	9	9	0.23	0.25
Chr0_RaGOO	775000	1158772	2	1	0.0000	8	7	0.20	0.20
Chr0_RaGOO	800000	1158772	0	1	0.0000	11	10	0.30	0.28
Chr0_RaGOO	825000	1158772	3	8	0.0000	6	7	0.17	0.18
Chr0_RaGOO	850000	1158772	0	0	0.0000	3	4	0.07	0.10
Chr0_RaGOO	875000	1158772	2	0	0.0000	5	4	0.12	0.12
Chr0_RaGOO	900000	1158772	1	1	0.0000	97	93	2.55	2.55
Chr0_RaGOO	925000	1158772	0	0	0.0000	52	49	1.38	1.33
Chr0_RaGOO	950000	1158772	0	1	0.0000	101	102	2.66	2.81
Chr0_RaGOO	975000	1158772	32	0	0.0000	15	26	0.39	0.72
Chr0_RaGOO	1000000	1158772	8	2	0.0022	91	81	2.40	2.22
Chr0_RaGOO	1025000	1158772	0	0	0.0000	1	1	0.02	0.03
Chr0_RaGOO	1050000	1158772	2	3	0.0000	8	9	0.22	0.23
Chr0_RaGOO	1075000	1158772	0	1	0.0000	5	5	0.13	0.14
Chr0_RaGOO	1100000	1158772	0	0	0.0000	6	6	0.16	0.17
Chr0_RaGOO	1125000	1158772	0	0	0.0215	4	6	0.10	0.16
Chr0_RaGOO	1137500	1158772	0	0	0.0000	2	1	0.05	0.04
NC_025968.4_RaGOO	0	43380699	0	0	0.0000	7	2	0.18	0.06
NC_025968.4_RaGOO	25000	43380699	0	0	0.0000	1	1	0.02	0.02
NC_025968.4_RaGOO	50000	43380699	2	0	0.0000	56	55	1.48	1.51
NC_025968.4_RaGOO	75000	43380699	0	0	0.0000	35	32	0.92	0.87
NC_025968.4_RaGOO	100000	43380699	0	0	0.0000	37	36	0.98	0.99
NC_025968.4_RaGOO	125000	43380699	0	0	0.0000	36	33	0.94	0.92
NC_025968.4_RaGOO	150000	43380699	0	0	0.0000	35	33	0.92	0.90
NC_025968.4_RaGOO	175000	43380699	2	0	0.0000	35	34	0.93	0.93
NC_025968.4_RaGOO	200000	43380699	3	1	0.0000	33	31	0.86	0.86
NC_025968.4_RaGOO	225000	43380699	0	5	0.0000	37	37	0.98	1.01
NC_025968.4_RaGOO	250000	43380699	0	0	0.0000	36	35	0.96	0.96
NC_025968.4_RaGOO	275000	43380699	0	0	0.0000	31	29	0.81	0.79
NC_025968.4_RaGOO	300000	43380699	3	0	0.0000	33	31	0.86	0.85
NC_025968.4_RaGOO	325000	43380699	1	3	0.0000	33	31	0.86	0.86
NC_025968.4_RaGOO	350000	43380699	7	0	0.0000	35	32	0.91	0.88
NC_025968.4_RaGOO	375000	43380699	5	0	0.0000	36	34	0.94	0.94
NC_025968.4_RaGOO	400000	43380699	0	1	0.0000	33	30	0.88	0.82
NC_025968.4_RaGOO	425000	43380699	0	0	0.0000	85	82	2.24	2.26
NC_025968.4_RaGOO	450000	43380699	0	0	0.0000	37	36	0.96	0.98
NC_025968.4_RaGOO	475000	43380699	0	0	0.0000	36	36	0.94	0.97
NC_025968.4_RaGOO	500000	43380699	4	0	0.0000	34	34	0.89	0.92
NC_025968.4_RaGOO	525000	43380699	1	0	0.0000	33	30	0.88	0.81
NC_025968.4_RaGOO	550000	43380699	0	0	0.0000	33	32	0.88	0.88
NC_025968.4_RaGOO	575000	43380699	2	2	0.0000	31	31	0.82	0.84
NC_025968.4_RaGOO	600000	43380699	0	0	0.0000	39	39	1.02	1.07
NC_025968.4_RaGOO	625000	43380699	1	0	0.0000	33	32	0.88	0.86
NC_025968.4_RaGOO	650000	43380699	1	0	0.0000	25	23	0.66	0.64
NC_025968.4_RaGOO	675000	43380699	0	0	0.0000	33	33	0.87	0.90
NC_025968.4_RaGOO	700000	43380699	1	0	0.0000	29	28	0.76	0.77
NC_025968.4_RaGOO	725000	43380699	0	0	0.0000	32	30	0.83	0.82
NC_025968.4_RaGOO	750000	43380699	0	1	0.0000	28	26	0.74	0.71
NC_025968.4_RaGOO	775000	43380699	0	0	0.0000	39	36	1.04	0.99
NC_025968.4_RaGOO	800000	43380699	0	2	0.0000	38	35	1.01	0.97
NC_025968.4_RaGOO	825000	43380699	0	2	0.0000	42	41	1.10	1.13
NC_025968.4_RaGOO	850000	43380699	0	0	0.0000	39	36	1.02	0.99
NC_025968.4_RaGOO	875000	43380699	2	0	0.0000	34	31	0.88	0.85
NC_025968.4_RaGOO	900000	43380699	2	1	0.0000	34	33	0.89	0.89
NC_025968.4_RaGOO	925000	43380699	0	0	0.0000	37	35	0.98	0.96
NC_025968.4_RaGOO	950000	43380699	6	1	0.0006	36	34	0.94	0.93
NC_025968.4_RaGOO	975000	43380699	0	6	0.0047	33	31	0.88	0.86
NC_025968.4_RaGOO	1000000	43380699	4	8	0.0094	35	34	0.93	0.94
NC_025968.4_RaGOO	1025000	43380699	0	2	0.0068	35	35	0.92	0.97
NC_025968.4_RaGOO	1050000	43380699	1	1	0.0000	35	34	0.93	0.92
